date,state_name,district_name,market_name,variety,p_min,p_max,p_modal
2022-04-15,Haryana,Sonipat,"New Grain Market , Sonipat",Other,2015,2015.0,2015.0
2022-04-15,Haryana,Ambala,Mullana,Other,2015,2015.0,2015.0
2022-04-15,Haryana,Ambala,Mullana(saha),Other,2015,2015.0,2015.0
2022-04-15,Haryana,Ambala,Naraingarh,Other,2015,2016.0,2015.0
2022-04-15,Haryana,Sirsa,Ding,Other,2015,2015.0,2015.0
2022-04-15,Haryana,Ambala,Barara,Other,2015,2040.0,2015.0
2022-04-15,Haryana,Karnal,Jundla,Other,2015,2020.0,2015.0
2022-04-15,Haryana,Karnal,Nilokheri,Other,2015,2025.0,2015.0
2022-04-15,Haryana,Gurgaon,Farukh Nagar,Other,2015,2015.0,2015.0
2022-04-15,Haryana,Ambala,Shahzadpur,Other,2015,2015.0,2015.0
2022-04-16,Haryana,Ambala,Shahzadpur,Other,2015,2015.0,2015.0
2022-04-16,Haryana,Sonipat,"New Grain Market , Sonipat",Other,2015,2015.0,2015.0
2022-04-16,Haryana,Ambala,Naraingarh,Other,2015,2016.0,2015.0
2022-04-16,Haryana,Ambala,Naneola,Other,2015,2015.0,2015.0
2022-04-16,Haryana,Kaithal,Dhand,Other,2015,2015.0,2015.0
2022-04-16,Haryana,Bhiwani,Tosham,Other,2015,2015.0,2015.0
2022-04-16,Haryana,Yamunanagar,Bilaspur,Other,2015,2015.0,2015.0
2022-04-16,Haryana,Karnal,Nilokheri,Other,2015,2025.0,2015.0
2022-04-16,Haryana,Kaithal,Pai,Other,2015,2015.0,2015.0
2022-04-16,Haryana,Kaithal,Siwan,147 Average,2015,2015.0,2015.0
2022-04-16,Haryana,Kaithal,Cheeka,Other,2015,2020.0,2020.0
2022-04-16,Haryana,Ambala,Mullana,Other,2015,2015.0,2015.0
2022-04-16,Haryana,Kaithal,Kaithal,Other,2015,2025.0,2025.0
2022-04-16,Haryana,Ambala,Mullana(saha),Other,2015,2015.0,2015.0
2022-04-16,Haryana,Hisar,Narnaund,Other,2015,2015.0,2015.0
2022-04-16,Haryana,Hisar,Uklana,Other,2015,2020.0,2015.0
2022-04-16,Haryana,Rewari,Rewari,Other,2025,2200.0,2100.0
2022-04-16,Haryana,Sirsa,Ding,Other,2015,2015.0,2015.0
2022-04-16,Haryana,Kurukshetra,Ladwa,Other,2015,2015.0,2015.0
2022-04-16,Haryana,Kurukshetra,Shahabad,Local,2015,2017.0,2016.0
2022-04-16,Haryana,Kurukshetra,Ladwa,Local,2016,2016.0,2016.0
2022-04-16,Haryana,Faridabad,Ballabhgarh,Other,2015,2015.0,2015.0
2022-04-16,Haryana,Kurukshetra,Thanesar,Other,2015,2025.0,2016.0
2022-04-16,Haryana,Jind,Pillukhera,Other,2015,2015.0,2015.0
2022-04-16,Haryana,Jind,"New Grain Market , Jind",Other,2015,2020.0,2015.0
2022-04-16,Haryana,Jind,Uchana,Other,2015,2016.0,2015.0
2022-04-16,Haryana,Ambala,Barara,Other,2015,2019.0,2015.0
2022-04-16,Haryana,Hisar,Adampur,Other,2020,2020.0,2020.0
2022-04-16,Haryana,Jind,Narwana,Other,2015,2015.0,2015.0
2022-04-17,Haryana,Ambala,Ambala City(Subji Mandi),147 Average,2016,2020.0,2018.0
2022-04-17,Haryana,Ambala,Mullana(saha),Other,2015,2015.0,2015.0
2022-04-17,Haryana,Ambala,Naraingarh,Other,2015,2016.0,2015.0
2022-04-17,Haryana,Ambala,Mullana,Other,2015,2015.0,2015.0
2022-04-17,Haryana,Ambala,Naneola,Other,2015,2015.0,2015.0
2022-04-17,Haryana,Sonipat,"New Grain Market , Sonipat",Other,2015,2015.0,2015.0
2022-04-17,Haryana,Kurukshetra,Ladwa,Local,2016,2016.0,2016.0
2022-04-17,Haryana,Hisar,Adampur,Other,2015,2055.0,2015.0
2022-04-17,Haryana,Hisar,Uklana,Other,2020,2020.0,2020.0
2022-04-17,Haryana,Jind,Safidon,Other,2015,2100.0,2100.0
2022-04-17,Haryana,Kurukshetra,Ladwa,Other,2015,2015.0,2015.0
2022-04-17,Haryana,Jind,Uchana,Other,2016,2016.0,2016.0
2022-04-17,Haryana,Jind,Pillukhera,Other,2015,2015.0,2015.0
2022-04-17,Haryana,Kaithal,Cheeka,Other,2015,2021.0,2017.0
2022-04-17,Haryana,Kaithal,Pai(Rajaund),Other,2015,,2015.0
2022-04-17,Haryana,Yamunanagar,Bilaspur,Other,2015,2015.0,2015.0
2022-04-17,Haryana,Kaithal,Dhand,Other,2015,2015.0,2015.0
2022-04-17,Haryana,Kurukshetra,Shahabad,Local,2015,2019.0,2016.0
2022-04-17,Haryana,Jind,Narwana,Other,2015,2015.0,2015.0
2022-04-17,Haryana,Jind,Jullana,Other,2015,2050.0,2040.0
2022-04-17,Haryana,Karnal,Nilokheri,Other,2025,2045.0,2030.0
2022-04-17,Haryana,Jind,"New Grain Market , Jind",Other,2015,2020.0,2020.0
2022-04-18,Haryana,Kurukshetra,Thanesar,Other,2015,2025.0,2016.0
2022-04-18,Haryana,Karnal,Nigdu,Other,2015,2015.0,2015.0
2022-04-18,Haryana,Kaithal,Siwan,147 Average,2015,2015.0,2015.0
2022-04-18,Haryana,Kaithal,Cheeka,Other,2015,2025.0,2020.0
